,predict_cause,real_cause,row,col,cost_time
20200602 145543 1584902534,"[[(('isp', '移动'),)], [(('isp', '移动'), ('line', 5))], [(('line', 5),)], [(('isp', '电信'), ('line', 5), ('p2p', 1)), (('isp', '联通'), ('line', 5), ('p2p', 0))], [(('isp', '联通'), ('p2p', 1), ('platform', 'ios')), (('isp', '移动'), ('p2p', 0), ('platform', 'adr'))]]",{'isp': '移动'},162,5,1.80019
20200602 165932 1423782086,"[[(('platform', 'adr'),)], [(('platform', 'adr'),), (('platform', 'adr_tv'),)], [(('p2p', 1), ('platform', 'adr'))], [(('coderate', 500), ('platform', 'adr'))], [(('line', 3), ('platform', 'adr'))]]","{'coderate': 500, 'platform': 'adr'}",152,5,1.518938
20200602 185602 2227875499,"[[(('coderate', 4000),)], [(('coderate', 4000), ('p2p', 1))], [(('coderate', 4000),), (('coderate', 2000),)], [(('coderate', 2000), ('p2p', 1)), (('coderate', 4000), ('p2p', 1))], [(('coderate', 4000), ('line', 8))]]",{'coderate': 4000},708,5,4.652187
20200602 201441 1591942650,"[[(('coderate', 2000), ('p2p', 1))], [(('coderate', 2000),)], [(('coderate', 2000), ('line', 3), ('p2p', 1))], [(('coderate', 2000), ('line', 3))], [(('p2p', 1),)]]","{'coderate': 2000, 'p2p': 1}",215,5,2.092432
20200603 064301 17767732,"[[(('p2p', 1), ('platform', 'adr')), (('p2p', 1), ('platform', 'ios'))], [(('p2p', 1), ('platform', 'adr'))], [(('platform', 'adr'),)], [(('line', 5), ('p2p', 1), ('platform', 'adr'))], [(('line', 5), ('platform', 'adr'))]]","{'p2p': 1, 'platform': 'adr'}",95,5,1.543871
20200603 080051 1394565188,"[[(('line', 5),)], [(('line', 5), ('p2p', 0))], [(('p2p', 0),)], [(('isp', '联通'), ('line', 5))], [(('p2p', 0), ('platform', 'adr'))]]",{'line': 5},169,5,1.905903
20200603 131605 1394565196,"[[(('coderate', 500), ('platform', 'adr'))], [(('coderate', 500),)], [(('platform', 'adr'),)], [(('coderate', 500), ('p2p', 1), ('platform', 'adr'))], [(('coderate', 500),), (('coderate', 0),)]]","{'coderate': 500, 'platform': 'adr'}",227,5,2.141274
20200603 150855 1121940342,"[[(('line', 7),)], [(('line', 7), ('p2p', 1))], [(('coderate', 4000), ('line', 7))], [(('isp', '移动'), ('line', 7))], [(('line', 7), ('p2p', 1), ('platform', 'adr'))]]",{'line': 7},252,5,2.324781
20200604 040135 1610847180,"[[(('p2p', 0),)], [(('p2p', 0), ('platform', 'adr')), (('p2p', 1), ('platform', 'pc_exe'))], [(('p2p', 0), ('platform', 'adr'))], [(('platform', 'adr'),)], [(('platform', 'adr'),), (('platform', 'pc_exe'),)]]",{'p2p': 0},248,5,2.302794
20200604 074139 1751457687,"[[(('coderate', 500),), (('coderate', 2000),)], [(('coderate', 2000),)], [(('coderate', 2000), ('p2p', 1))], [(('p2p', 1),)], [(('platform', 'adr'),)]]","[{'coderate': 2000}, {'coderate': 500}]",222,5,2.426511
20200605 005935 1677942333,"[[(('p2p', 1), ('platform', 'adr')), (('p2p', 1), ('platform', 'ios'))], [(('coderate', 500), ('line', 5), ('p2p', 0))], [(('line', 5), ('p2p', 0))], [(('line', 5),)], [(('coderate', 500), ('line', 5))]]","{'p2p': 0, 'coderate': 500, 'line': 5}",187,5,1.971763
20200605 024531 170903641,"[[(('coderate', 2000), ('line', 5), ('p2p', 0))], [(('coderate', 2000), ('line', 5))], [(('coderate', 2000), ('p2p', 0))], [(('line', 5), ('p2p', 0))], [(('coderate', 2000),)]]","{'p2p': 0, 'coderate': 2000, 'line': 5}",335,5,1.752278
20200605 105654 1539218884,"[[(('coderate', 4000),)], [(('coderate', 4000), ('p2p', 1))], [(('coderate', 4000), ('line', 3))], [(('coderate', 4000), ('line', 3), ('p2p', 1))], [(('coderate', 4000), ('p2p', 1), ('platform', 'webh5'))]]","[{'coderate': 4000, 'line': 3}, {'coderate': 4000, 'line': 5}]",396,5,2.368324
20200605 120903 1191588902,"[[(('line', 7),)], [(('line', 7), ('p2p', 1))], [(('coderate', 2000), ('line', 7))], [(('coderate', 2000), ('line', 7), ('p2p', 1))], [(('line', 7), ('platform', 'adr'))]]",{'line': 7},377,5,2.332727
20200606 081303 1524418094,"[[(('coderate', 500),)], [(('coderate', 500), ('platform', 'adr'))], [(('coderate', 0), ('platform', 'adr_tv')), (('coderate', 500), ('platform', 'adr'))], [(('coderate', 500), ('p2p', 1))], [(('coderate', 500), ('line', 3), ('p2p', 1))]]",{'coderate': 500},135,5,1.727382
20200606 143537 367138632,"[[(('coderate', 2000),)], [(('coderate', 2000), ('line', 3))], [(('coderate', 2000), ('p2p', 1))], [(('coderate', 2000), ('platform', 'adr'))], [(('coderate', 2000), ('line', 3), ('p2p', 1))]]","[{'coderate': 2000, 'line': 3}, {'coderate': 2000, 'line': 5}]",498,5,3.331093
2020-08-06+15_11_00,"[[(('coderate', 10000), ('p2p', 1))], [(('coderate', 10000),)], [(('coderate', 10000), ('line', 5))], [(('coderate', 10000), ('line', 5), ('p2p', 1))], [(('coderate', 10000), ('isp', '电信'))]]","[{'p2p': 1, 'coderate': 10000, 'line': 5}, {'p2p': 1, 'line': 3, 'coderate': 10000}]",30,4,0.72506
2020-08-06+15_09_00,"[[(('coderate', 10000), ('p2p', 1))], [(('coderate', 10000),)], [(('p2p', 1),)], [(('coderate', 10000), ('line', 5), ('p2p', 1))], [(('coderate', 4000),), (('coderate', 10000),)]]","{'p2p': 1, 'coderate': 10000}",35,4,0.831775
2020-08-06+12_07_00,"[[(('coderate', 500), ('line', 7))], [(('coderate', 500),)], [(('coderate', 500), ('line', 7), ('p2p', 1))], [(('coderate', 500), ('p2p', 1))], [(('line', 7), ('p2p', 1))]]","{'coderate': 500, 'line': 7}",48,4,0.347072
2020-08-07+07_59_00,"[[(('coderate', 2000), ('line', 7))], [(('coderate', 2000),)], [(('coderate', 2000), ('line', 7), ('p2p', 1))], [(('coderate', 2000), ('p2p', 1))], [(('coderate', 2000), ('isp', '电信'))]]","{'p2p': 1, 'line': 7, 'coderate': 2000}",25,4,0.541587
2020-08-07+07_37_00,"[[(('coderate', 4000), ('line', 7), ('p2p', 1)), (('coderate', 2000), ('line', 7), ('p2p', 1))], [(('line', 7), ('p2p', 1))], [(('p2p', 1),)], [(('coderate', 4000), ('line', 7), ('p2p', 1))], [(('coderate', 4000), ('p2p', 1))]]","[{'p2p': 1, 'line': 7, 'coderate': 4000}, {'p2p': 1, 'line': 7, 'coderate': 2000}]",23,4,0.66223
2020-08-07+09_07_00,"[[(('coderate', 2000),)], [(('coderate', 2000), ('line', 7)), (('coderate', 4000), ('line', 7))], [(('coderate', 2000), ('line', 7))], [(('coderate', 2000), ('line', 7), ('p2p', 1))], [(('isp', '移动'),)]]",{'coderate': 2000},37,4,0.7121
