min,value,cnt,cdn,bitrate,p2p,isp
1596756780,0,50,7,4000,0,电信
1596756780,0,33,7,4000,0,联通
1596756780,0,33,7,500,1,移动
1596756780,8,284,7,2000,1,移动
1596756780,0,20,7,500,1,电信
1596756780,2,36,7,0,0,电信
1596756780,6,251,7,2000,1,电信
1596756780,0,52,7,0,0,移动
1596756780,3,21,7,0,0,联通
1596756780,0,12,7,2000,1,小运营商
1596756780,0,54,7,4000,0,移动
1596756780,2,147,7,2000,1,联通
1596756780,0,47,7,10000,1,移动
1596756780,8,78,7,2000,0,电信
1596756780,1,77,5,2000,0,联通
1596756780,2,74,7,4000,1,联通
1596756780,3,86,7,2000,0,移动
1596756780,0,53,7,10000,1,电信
1596756780,6,209,7,4000,1,移动
1596756780,1,43,7,10000,1,联通
1596756780,6,194,7,4000,1,电信
1596756780,4,47,7,2000,0,联通
1596756840,1,19,7,500,1,电信
1596756840,0,165,7,2000,1,联通
1596756840,0,62,7,4000,0,移动
1596756840,1,56,7,0,0,移动
1596756840,3,83,7,2000,0,电信
1596756840,0,11,3,10000,1,电信
1596756840,0,41,7,10000,1,移动
1596756840,5,276,7,2000,1,电信
1596756840,3,74,5,2000,0,联通
1596756840,3,209,7,4000,1,电信
1596756840,2,55,7,4000,0,电信
1596756840,4,52,7,10000,1,电信
1596756840,4,78,7,4000,1,联通
1596756840,0,11,7,500,1,联通
1596756840,1,37,7,0,0,电信
1596756840,2,96,7,2000,0,移动
1596756840,0,12,7,500,0,移动
1596756840,5,248,7,4000,1,移动
1596756840,2,19,7,0,0,联通
1596756840,3,48,7,2000,0,联通
1596756840,9,276,7,2000,1,移动
1596756840,0,12,7,2000,1,小运营商
1596756840,0,12,7,4000,1,小运营商
1596756840,0,33,7,500,1,移动
1596756840,0,33,7,4000,0,联通
1596756840,0,41,7,10000,1,联通
1596756900,6,216,7,4000,1,电信
1596756900,3,241,7,4000,1,移动
1596756900,2,56,7,10000,1,电信
1596756900,0,88,7,2000,0,移动
1596756900,0,12,7,500,0,移动
1596756900,3,44,7,0,0,电信
1596756900,0,14,7,4000,1,小运营商
1596756900,0,36,7,4000,0,联通
1596756900,3,57,7,0,0,移动
1596756900,5,83,7,4000,1,联通
1596756900,4,85,7,2000,0,电信
1596756900,0,12,7,500,1,联通
1596756900,1,45,7,10000,1,移动
1596756900,1,160,7,2000,1,联通
1596756900,0,14,7,2000,1,小运营商
1596756900,0,22,7,500,1,电信
1596756900,5,286,7,2000,1,电信
1596756900,6,279,7,2000,1,移动
1596756900,0,32,7,500,1,移动
1596756900,4,59,7,4000,0,电信
1596756900,3,39,7,10000,1,联通
1596756900,4,21,7,0,0,联通
1596756900,1,66,7,4000,0,移动
1596756900,4,53,7,2000,0,联通
1596756900,1,83,5,2000,0,联通
1596756960,6,74,7,2000,0,电信
1596756960,6,72,7,4000,0,移动
1596756960,0,41,7,10000,1,移动
1596756960,0,19,7,4000,1,小运营商
1596756960,0,58,7,10000,1,电信
1596756960,1,95,7,2000,0,移动
1596756960,0,11,7,500,0,移动
1596756960,1,82,5,2000,0,联通
1596756960,1,84,7,4000,1,联通
1596756960,5,158,7,2000,1,联通
1596756960,5,57,7,2000,0,联通
1596756960,0,12,7,500,1,联通
1596756960,0,43,7,0,0,移动
1596756960,4,248,7,4000,1,移动
1596756960,7,292,7,2000,1,电信
1596756960,7,224,7,4000,1,电信
1596756960,1,27,7,500,1,电信
1596756960,3,22,7,0,0,联通
1596756960,4,42,7,10000,1,联通
1596756960,0,30,7,500,1,移动
1596756960,4,283,7,2000,1,移动
1596756960,0,51,7,4000,0,电信
1596756960,0,35,7,4000,0,联通
1596756960,9,44,7,0,0,电信
1596756960,0,16,7,2000,1,小运营商
1596757020,5,12,7,4000,1,小运营商
1596757020,3,32,7,500,1,电信
1596757020,36,172,7,2000,1,联通
1596757020,2,58,7,0,0,移动
1596757020,3,43,7,4000,0,联通
1596757020,2,43,7,0,0,电信
1596757020,59,321,7,2000,1,电信
1596757020,2,29,7,500,1,移动
1596757020,48,311,7,2000,1,移动
1596757020,65,212,7,4000,1,移动
1596757020,3,56,7,2000,0,联通
1596757020,3,47,7,10000,1,联通
1596757020,69,208,7,4000,1,电信
1596757020,2,15,7,2000,1,小运营商
1596757020,0,47,7,10000,1,移动
1596757020,4,78,7,2000,0,电信
1596757020,1,88,5,2000,0,联通
1596757020,22,80,7,4000,1,联通
1596757020,5,97,7,2000,0,移动
1596757020,2,57,7,10000,1,电信
1596757020,3,22,7,0,0,联通
1596757020,2,54,7,4000,0,电信
1596757020,6,74,7,4000,0,移动
